"Speaker";"Title";"Repository";"Date";"Kind";"Passcode"
"Leung, Samson";"Hanf number of the first stability cardinal in AECs, Part II";"https://cmu.zoom.us/rec/share/9msa0dx9G-Di2cu162v6v4PgmNqdjImCIZ9XPSpIkA23rs-TjDcpXf85vWO_oNS7.sS3VB_1ffnUorGkG";"October 7, 2021";"seminar";"?%%B0%0A"
"Walsberg, Erik";"NIP expansions of (ℝ, <, +)";"http://www1.maths.leeds.ac.uk/~pmtpe/TDE/zoom24.mp4";"September 11, 2021";"seminar"
"Guingona, Vincent";"The intersection of model theory and machine learning";"https://cmu.zoom.us/rec/share/uGT0jt7yJ3cVKxdrw03PApzaF95krafp80Rl-dS-vDZ0phDgGrxkxVgl_coxr5Pd.pIQr85Bh17bOiw5a";"October 14, 2021";"seminar";".Dr!6j?8"
"Ben-Neria, Omer";"Strong Prikry Property for Magidor Iteraton, part 3";"https://huji.cloud.panopto.eu/Panopto/Pages/Viewer.aspx?tid=9ddaa29c-6352-4df9-9390-ad1100d92446";"April 21, 2021";"seminar"
"Ben-Neria, Omer";"Strong Prikry Property for Magidor Iteraton, part 2";"https://huji.cloud.panopto.eu/Panopto/Pages/Viewer.aspx?tid=f9511e42-3d1f-4489-adf0-ad0300d7cbba";"April 7, 2021";"seminar"
"Ben-Neria, Omer";"Strong Prikry Property for Magidor Iteraton, part 1";"https://huji.cloud.panopto.eu/Panopto/Pages/Viewer.aspx?tid=acb03b29-ed73-4c2e-bb6f-acf501005bcc";"March 24, 2021";"seminar"
"Ben-Neria, Omer";"On Continuous Tree-Like Scales and related properties of Internally Approachable structures";"https://huji.cloud.panopto.eu/Panopto/Pages/Viewer.aspx?tid=1a9da18b-39dc-48f7-ac9c-ac6200f2dc56";"October 28, 2020";"seminar"
"Hayut, Yair";"Stationary reflection and Prikry forcing";"https://huji.cloud.panopto.eu/Panopto/Pages/Viewer.aspx?tid=afdab4c3-1ada-4594-8494-ace000eca41d";"March 3, 2021";"seminar"
"Hayut, Yair";"Higher Chang Conjecture, part 2";"https://huji.cloud.panopto.eu/Panopto/Pages/Viewer.aspx?tid=7846c415-8ab4-4f92-ad04-ac70010203a1";"November 11, 2020";"seminar"
"Hayut, Yair";"Higher Chang Conjecture, part 1";"https://huji.cloud.panopto.eu/Panopto/Pages/Viewer.aspx?tid=c2632d61-daa9-4f46-aa6e-ac6900ed62b8";"November 4, 2020";"seminar"
"Stperans, Juris";"Universal functions, strong colourings and ideas from PID";"https://huji.cloud.panopto.eu/Panopto/Pages/Viewer.aspx?tid=9d34740e-33e3-477a-bba8-acaf00f1c891";"January 13, 2021";"seminar"
"Abraham, Uri";"Coding well ordering of the reals with ladders";"https://huji.cloud.panopto.eu/Panopto/Pages/Viewer.aspx?id=046d98ce-f66a-4bc0-ac5a-abf900ad714e";"Julio 15, 2020";"seminar"
"Guingona, Vincent";"Zero-sets of linear combinations of functions";"https://cmu.zoom.us/rec/share/Jbt0U8Hzqz6trHgyriICR3hHhakIChEGezGoTjtAcj3BopjwEL556aEUXjbEN4VG.fj7wyP2o2YaPMaBd";"October 21, 2021";"seminar";"4d?VsSJ8"
"Point, Francoise";"On exponential topological fields endowed with a generic derivation";"http://www1.maths.leeds.ac.uk/~pmtpe/TDE/zoom25.mp4";"October 25, 2021";"seminar"
